Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
EBEJICO,5240,6.3333333,'-75.75
EL AGUILA,76243,4.9166667,'-76.0833333
EL BAGRE,5250,7.5941667,'-74.8119444
EL BANCO,47245,9.0455556,'-73.9747222
EL CAIRO,76246,4.75,'-76.25
EL CALVARIO,50245,4.4166667,'-73.6666667
EL CANTON DEL SAN PABLO,27135,5.3388889,'-76.7313889
EL CARMEN,54245,8.75,'-73.3333333
EL CARMEN DE ATRATO,27245,"",""
EL CARMEN DE BOLIVAR,13244,9.75,'-75.1666667
EL CARMEN DE CHUCURI,68235,"6,698",'-73.511
EL CARMEN DE VIBORAL,5148,6.085,'-75.3386111
EL CASTILLO,50251,3.5680556,'-73.7838889
EL CERRITO,76248,3.6666667,'-76.1666667
EL CHARCO,52250,2.3333333,'-78.35
EL COCUY,15244,6.4166667,'-72.4166667
EL COLEGIO,25245,4.5833333,'-74.45
EL COPEY,20238,10.1505556,'-73.965
EL DONCELLO,18247,1.6794444,'-75.2791667
EL DORADO,50270,2.7791667,'-72.8719444
EL DOVIO,76250,4.5,'-76.25
EL ESPINO,15248,6.5833333,'-72.4166667
EL GUACAMAYO,68245,6.3333333,'-73.4666667
EL GUAMO,13248,10.0833333,'-74.9166667
EL MOLINO,44110,10.6533333,'-72.9241667
EL PASO,20250,9.6622222,'-73.7519444
EL PAUJIL,18256,1.564,'-75.332
EL PEÑOL,52254,1.4333333,'-77.4333333
EL PEÑON,13268,8.9833333,'-73.95
EL PEÑON,25258,5.3333333,'-74.3333333
EL PEÑON,68250,6.55,'-72.8333333
EL PIÑON,47258,10.3333333,'-74.6666667
EL PLAYON,68255,7.4766667,'-73.2080556
EL RETEN,47268,10.6166667,'-74.2666667
EL RETORNO,95025,2.3305556,'-72.6277778
EL ROBLE,70233,9.1,'-75.2
EL ROSAL,25260,4.85,'-74.2666667
EL ROSARIO,52256,1.8333333,'-77.3333333
EL SANTUARIO,5697,6.1333333,'-75.25
EL TABLON DE GOMEZ,52258,"",""
EL TAMBO,19256,2.5,'-77.0
EL TAMBO,52260,1.4,'-77.3333333
EL TARRA,54250,8.5847222,'-73.0883333
EL ZULIA,54261,7.9355556,'-72.605
ELIAS,41244,2.0833333,'-76.0
ENCINO,68264,6.1666667,'-73.0
ENCISO,68266,6.75,'-72.6333333
ENTRERRIOS,5264,6.5833333,'-75.5833333
ENVIGADO,5266,6.1730556,'-75.5638889
ESPINAL,73268,4.2,'-74.8333333
FACATATIVA,25269,4.8166667,'-74.3666667
FALAN,73270,5.1333333,'-75.0
FILADELFIA,17272,5.3,'-75.6
FILANDIA,63272,4.6666667,'-75.6333333
FIRAVITOBA,15272,5.75,'-72.9666667
FLANDES,73275,4.25,'-74.8333333
FLORENCIA,18001,1.6175,'-75.6175
FLORENCIA,19290,1.6944444,'-77.0758333
